index,cluster
0,2
1,2
2,1
3,1
4,2
5,2
6,1
7,1
8,2
9,2
10,0
11,2
12,2
13,2
14,1
15,1
16,1
17,1
18,2
19,2
20,1
21,1
22,3
23,1
24,2
25,1
26,0
27,1
28,0
29,1
30,3
31,1
32,1
33,1
34,1
35,1
36,2
37,1
38,2
39,2
40,1
41,1
42,2
43,1
44,2
45,1
46,2
47,1
48,3
49,0
50,0
51,1
52,1
53,1
54,1
55,1
56,2
57,1
58,2
59,0
60,1
61,1
62,1
63,0
64,1
65,2
66,0
67,1
68,1
69,1
70,2
71,1
72,1
73,1
74,2
75,1
76,0
77,1
78,1
79,1
80,2
81,1
82,2
83,2
84,1
85,1
86,2
87,0
88,3
89,0
90,2
91,1
92,2
93,2
94,2
95,1
96,1
97,1
98,1
99,1
100,1
101,2
102,2
103,3
104,1
105,1
106,1
107,0
108,2
109,0
110,1
111,1
112,0
113,2
114,2
115,1
116,2
117,3
118,2
119,1
120,0
121,3
122,1
123,2
124,2
125,2
126,0
127,1
128,1
129,1
130,1
131,1
132,1
133,3
134,1
135,1
136,1
137,1
138,3
139,1
140,1
141,2
142,1
143,1
144,2
145,3
146,0
147,2
148,1
149,2
150,1
151,2
152,1
153,2
154,2
155,1
156,1
157,3
158,1
159,3
160,2
161,2
162,1
163,1
164,1
165,1
166,0
167,1
168,1
169,1
170,1
171,1
172,1
173,2
174,2
175,2
176,1
177,1
178,2
179,1
180,2
181,1
182,1
183,2
184,2
185,1
186,3
187,2
188,3
189,1
190,1
191,2
192,0
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,0
201,2
202,2
203,2
204,1
205,1
206,3
207,1
208,1
209,1
210,0
211,1
212,1
213,1
214,1
215,1
216,1
217,2
218,1
219,1
220,2
221,0
222,1
223,2
224,1
225,2
226,3
227,1
228,1
229,3
230,2
231,2
232,1
233,1
234,1
235,1
236,1
237,1
238,2
239,1
240,2
241,0
242,1
243,1
244,1
245,0
246,1
247,2
248,1
249,1
250,1
251,0
252,2
253,1
254,1
255,1
256,1
257,1
258,0
259,2
260,1
261,2
262,2
263,1
264,2
265,2
266,1
267,2
268,1
269,2
270,1
271,0
272,1
273,2
274,1
275,0
276,1
277,0
278,2
279,1
280,1
281,1
282,1
283,1
284,2
285,2
286,2
287,0
288,2
289,2
290,2
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,3
299,1
300,1
301,2
302,1
303,3
304,1
305,0
306,1
307,2
308,1
309,1
310,1
311,1
312,1
313,0
314,1
315,1
316,2
317,2
318,1
319,1
320,1
321,2
322,2
323,2
324,2
325,1
326,2
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,2
335,2
336,3
337,0
338,1
339,1
340,1
341,2
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,2
352,0
353,1
354,3
355,1
356,1
357,1
358,1
359,1
360,3
361,1
362,1
363,1
364,2
365,2
366,1
367,1
368,1
369,0
370,2
371,1
372,1
373,2
374,0
375,3
376,3
377,1
378,1
379,0
380,1
381,1
382,1
383,2
384,1
385,0
386,1
387,1
388,1
389,1
390,1
391,1
392,2
393,1
394,1
395,0
396,3
397,0
398,1
399,2
400,2
401,2
402,3
403,2
404,0
405,1
406,1
407,1
408,2
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,1
417,1
418,0
419,1
420,1
421,1
422,1
423,0
424,0
425,2
426,1
427,2
428,1
429,2
430,0
431,1
432,1
433,3
434,2
435,1
436,1
437,0
438,1
439,2
440,1
441,1
442,1
443,1
444,2
445,1
446,2
447,1
448,1
449,1
450,2
451,2
452,1
453,1
454,0
455,1
456,2
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,1
465,2
466,2
467,1
468,1
469,1
470,1
471,3
472,2
473,0
474,1
475,1
476,2
477,0
478,0
479,0
480,1
481,0
482,1
483,2
484,1
485,0
486,2
487,1
488,1
489,1
490,2
491,2
492,0
493,1
494,1
495,2
496,1
497,2
498,1
499,1
500,0
501,1
502,1
503,1
504,1
505,1
506,0
507,1
508,1
509,1
510,1
511,1
512,1
513,1
514,1
515,0
516,2
517,0
518,1
519,0
520,1
521,2
522,1
523,1
524,2
525,1
526,1
527,1
528,3
529,0
530,2
531,2
532,2
533,1
534,1
535,1
536,1
537,2
538,1
539,0
540,1
541,3
542,0
543,1
544,2
545,2
