index,kmeans_cluster,fair_cluster
0,0,2
1,1,1
2,1,1
3,1,1
4,0,2
5,0,2
6,1,1
7,1,1
8,0,2
9,0,2
10,0,1
11,0,2
12,0,1
13,0,1
14,1,1
15,1,1
16,1,1
17,1,1
18,0,2
19,0,2
20,1,1
21,1,1
22,2,3
23,1,1
24,0,2
25,1,1
26,0,1
27,1,1
28,0,2
29,1,1
30,2,3
31,1,1
32,1,1
33,1,1
34,1,1
35,1,1
36,0,1
37,1,1
38,0,2
39,0,2
40,1,1
41,1,1
42,0,2
43,1,1
44,0,2
45,0,1
46,0,1
47,1,1
48,2,0
49,0,2
50,0,1
51,1,1
52,1,1
53,1,1
54,1,1
55,1,1
56,0,2
57,1,1
58,0,2
59,0,1
60,1,1
61,1,1
62,1,1
63,0,1
64,1,1
65,0,2
66,0,2
67,1,1
68,1,1
69,1,1
70,0,1
71,1,1
72,1,1
73,1,1
74,0,2
75,1,1
76,1,1
77,1,1
78,1,1
79,1,1
80,0,2
81,1,1
82,0,2
83,0,1
84,1,1
85,1,1
86,0,2
87,0,1
88,2,0
89,0,1
90,0,1
91,1,1
92,0,2
93,0,2
94,0,2
95,1,1
96,1,1
97,1,1
98,1,1
99,1,1
100,1,1
101,0,2
102,0,2
103,2,3
104,1,1
105,1,1
106,1,1
107,0,1
108,0,1
109,0,1
110,1,1
111,1,1
112,0,2
113,0,2
114,0,2
115,1,1
116,0,2
117,2,3
118,0,1
119,1,1
120,0,2
121,2,3
122,1,1
123,0,2
124,0,1
125,0,2
126,0,1
127,1,1
128,1,1
129,1,1
130,1,1
131,1,1
132,1,1
133,2,3
134,1,1
135,1,1
136,1,1
137,1,1
138,2,3
139,1,1
140,1,1
141,0,2
142,1,1
143,1,1
144,0,2
145,2,3
146,0,1
147,0,2
148,1,1
149,0,2
150,1,1
151,0,2
152,1,1
153,0,1
154,0,2
155,1,1
156,1,1
157,2,3
158,1,1
159,2,3
160,0,2
161,0,2
162,1,1
163,1,1
164,1,1
165,1,1
166,0,2
167,1,1
168,1,1
169,1,1
170,1,1
171,1,1
172,1,1
173,0,2
174,0,2
175,1,2
176,1,1
177,1,1
178,0,2
179,1,1
180,1,1
181,1,1
182,1,1
183,0,2
184,0,2
185,1,1
186,2,3
187,0,2
188,2,3
189,1,1
190,1,1
191,0,1
192,0,1
193,1,1
194,1,1
195,1,1
196,1,1
197,1,1
198,1,1
199,1,1
200,0,2
201,0,1
202,0,2
203,0,2
204,1,1
205,1,1
206,2,3
207,1,1
208,1,1
209,1,1
210,1,1
211,1,1
212,1,1
213,1,1
214,1,1
215,1,1
216,1,1
217,0,2
218,1,1
219,1,1
220,0,2
221,0,2
222,1,1
223,0,2
224,1,1
225,0,1
226,2,3
227,1,1
228,1,1
229,2,0
230,0,2
231,0,2
232,1,1
233,1,1
234,1,1
235,1,1
236,1,1
237,1,1
238,0,1
239,1,1
240,0,2
241,0,1
242,1,1
243,1,1
244,1,1
245,0,1
246,1,1
247,0,2
248,1,1
249,1,1
250,1,1
251,0,2
252,0,2
253,1,1
254,1,1
255,1,1
256,1,1
257,1,1
258,0,1
259,1,1
260,1,1
261,0,1
262,0,2
263,1,1
264,0,2
265,0,2
266,1,1
267,0,2
268,1,1
269,0,2
270,1,1
271,0,2
272,1,1
273,0,2
274,1,1
275,0,2
276,1,1
277,0,1
278,0,2
279,1,1
280,1,1
281,1,1
282,1,1
283,1,1
284,0,1
285,0,1
286,0,1
287,0,1
288,0,2
289,0,2
290,0,2
291,1,1
292,1,1
293,1,1
294,1,1
295,1,1
296,1,1
297,1,1
298,2,3
299,1,1
300,1,1
301,1,1
302,1,1
303,2,3
304,1,1
305,0,1
306,1,1
307,0,2
308,1,1
309,1,1
310,1,1
311,1,1
312,1,1
313,0,2
314,1,1
315,1,1
316,0,1
317,0,1
318,1,1
319,1,1
320,1,1
321,0,2
322,1,1
323,0,1
324,0,2
325,1,1
326,0,2
327,1,1
328,1,1
329,1,1
330,0,1
331,1,1
332,1,1
333,1,1
334,0,2
335,0,2
336,2,3
337,0,1
338,1,1
339,1,1
340,1,1
341,0,2
342,1,1
343,1,1
344,1,1
345,1,1
346,1,1
347,1,1
348,1,1
349,1,1
350,1,1
351,0,2
352,1,1
353,1,1
354,2,3
355,1,1
356,1,1
357,1,1
358,1,1
359,1,1
360,2,3
361,1,1
362,1,1
363,1,1
364,0,2
365,0,1
366,1,1
367,1,1
368,1,1
369,0,2
370,0,2
371,1,1
372,1,1
373,0,2
374,0,1
375,2,3
376,2,0
377,1,1
378,1,1
379,0,1
380,1,1
381,1,1
382,1,1
383,0,2
384,1,1
385,1,1
386,1,1
387,1,1
388,1,1
389,1,1
390,1,1
391,1,1
392,0,2
393,1,1
394,1,1
395,0,1
396,2,3
397,0,1
398,1,1
399,0,2
400,0,2
401,1,1
402,2,3
403,0,2
404,0,1
405,1,1
406,1,1
407,1,1
408,0,2
409,1,1
410,1,1
411,1,1
412,1,1
413,1,1
414,1,1
415,1,1
416,1,1
417,1,1
418,0,1
419,1,1
420,1,1
421,1,1
422,1,1
423,0,1
424,0,1
425,0,1
426,1,1
427,0,2
428,1,1
429,1,1
430,0,1
431,1,1
432,1,1
433,2,3
434,1,1
435,1,1
436,1,1
437,0,1
438,1,1
439,0,2
440,1,1
441,1,1
442,1,1
443,1,1
444,0,1
445,1,1
446,1,1
447,1,1
448,1,1
449,1,1
450,0,2
451,0,2
452,1,1
453,1,1
454,0,2
455,1,1
456,1,1
457,1,1
458,1,1
459,1,1
460,1,1
461,1,1
462,1,1
463,1,1
464,1,1
465,0,2
466,0,2
467,1,1
468,1,1
469,1,1
470,1,1
471,2,3
472,0,1
473,0,1
474,1,1
475,1,1
476,0,2
477,0,2
478,1,1
479,0,1
480,1,1
481,0,1
482,1,1
483,0,2
484,1,1
485,1,1
486,0,2
487,1,1
488,1,1
489,1,1
490,0,1
491,0,2
492,1,1
493,1,1
494,1,1
495,0,2
496,1,1
497,0,2
498,1,1
499,1,1
500,0,1
501,1,1
502,1,1
503,1,1
504,1,1
505,1,1
506,0,1
507,1,1
508,1,1
509,1,1
510,0,1
511,1,1
512,1,1
513,1,1
514,1,1
515,0,2
516,0,1
517,0,1
518,1,1
519,0,2
520,1,1
521,0,2
522,1,1
523,1,1
524,0,2
525,1,1
526,1,1
527,1,1
528,2,3
529,0,2
530,0,2
531,0,1
532,0,2
533,1,1
534,1,1
535,1,1
536,1,1
537,0,2
538,1,1
539,0,1
540,1,1
541,2,3
542,0,2
543,1,1
544,0,2
545,0,2
546,1,1
547,2,0
548,1,1
549,0,2
550,0,2
551,1,1
552,1,1
553,1,1
554,0,1
555,1,1
556,0,2
557,1,1
558,1,1
559,1,1
560,0,2
561,1,1
562,1,1
563,0,2
564,1,1
565,0,1
566,1,1
567,1,1
568,0,2
569,0,2
570,1,1
571,1,1
572,1,1
573,0,1
574,1,1
575,0,1
576,1,1
577,0,1
578,1,1
579,1,1
580,1,1
581,1,1
582,0,1
583,0,2
584,0,1
585,1,1
586,0,2
587,0,2
588,1,1
589,0,2
590,0,1
591,1,1
592,1,1
593,0,1
594,1,1
595,0,2
596,1,1
597,1,1
598,0,2
599,1,1
600,1,1
601,0,2
602,0,1
603,1,1
604,1,1
605,1,1
606,1,1
607,1,1
608,1,1
609,0,2
610,1,1
611,0,2
612,1,1
613,0,1
614,1,1
615,1,1
616,2,3
617,1,1
618,1,1
619,0,2
620,1,1
621,1,1
622,1,1
623,1,1
624,1,1
625,1,1
626,1,1
627,1,1
628,1,1
629,1,1
630,1,1
631,1,1
632,0,2
633,0,2
634,1,1
635,1,1
636,1,1
637,0,1
638,1,1
639,1,1
640,0,2
641,2,3
642,0,2
643,1,1
644,0,2
645,2,3
646,1,1
647,1,1
648,0,2
649,0,2
650,1,1
651,1,1
652,1,1
653,1,1
654,0,2
655,1,1
656,0,1
657,0,1
658,1,1
659,1,1
660,1,1
661,1,1
662,0,2
663,1,1
664,2,0
665,0,2
666,1,1
667,0,2
668,1,1
669,1,1
670,1,1
671,1,1
672,1,1
673,2,3
674,1,1
675,1,1
676,1,1
677,0,2
678,1,1
679,0,2
680,1,1
681,0,1
682,0,2
683,0,1
684,1,1
685,0,2
686,1,1
687,1,1
688,1,1
689,0,2
690,0,2
691,1,1
692,1,1
693,1,1
694,1,1
695,1,1
696,1,1
697,0,2
698,1,1
699,1,1
700,1,1
701,1,1
702,1,1
703,0,2
704,0,2
705,1,1
706,1,1
707,1,1
708,0,2
709,1,1
710,1,1
711,1,1
712,0,1
713,1,1
714,1,1
715,0,1
716,1,1
717,0,2
718,1,1
719,2,3
720,0,1
721,0,1
722,0,2
723,1,1
724,2,3
725,1,1
726,0,1
727,0,2
728,1,1
729,0,1
730,1,1
731,1,1
732,1,1
733,0,2
734,2,3
735,0,1
736,2,3
737,1,1
738,1,1
739,1,1
740,1,1
741,0,2
742,0,2
743,1,1
744,1,1
745,1,1
746,1,1
747,1,1
748,0,1
749,0,1
750,0,1
751,1,1
752,1,1
753,1,1
754,0,2
755,0,1
756,1,1
757,2,0
758,1,1
759,1,1
760,1,1
761,1,1
762,0,2
763,1,1
764,1,1
765,1,1
766,1,1
767,1,1
768,0,2
769,0,2
770,1,1
771,1,1
772,0,1
773,1,1
774,0,2
775,1,1
776,1,1
777,1,1
778,0,2
779,0,2
780,1,1
781,0,2
782,0,1
783,1,1
784,0,2
785,0,2
786,1,1
787,1,1
788,1,1
789,0,2
790,0,2
791,1,1
792,1,1
793,1,1
794,0,1
795,1,1
796,1,1
797,1,1
798,1,1
799,0,1
800,0,2
801,0,2
802,0,1
803,0,2
804,2,3
805,1,1
806,0,2
807,1,1
808,1,1
809,1,1
810,1,1
811,1,1
812,0,2
813,0,1
814,0,2
815,0,1
816,0,1
817,1,1
818,0,1
819,0,2
820,1,1
821,0,2
822,0,2
823,0,2
824,0,1
825,0,2
826,0,2
827,1,1
828,1,1
829,1,1
830,1,1
831,1,1
832,1,1
833,0,1
834,1,1
835,1,1
836,1,1
837,1,1
838,1,1
839,1,1
840,1,1
841,1,1
842,0,2
843,0,2
844,1,1
845,1,1
846,1,1
847,1,1
848,1,1
849,1,1
850,1,1
851,1,1
852,1,1
853,0,2
854,1,1
855,1,1
856,0,1
857,1,1
858,1,1
859,1,1
860,0,1
861,0,2
862,2,3
863,1,1
864,0,2
865,0,1
866,1,1
867,1,1
868,1,1
869,1,1
870,1,1
871,1,1
872,2,3
873,1,1
874,1,1
875,1,1
